Pos,No,Driver,Team,Q1,Q2
1,2,Alexander Sims,ART Grand Prix,1:31.724,1:30.956
2,1,Valtteri Bottas,ART Grand Prix,1:31.728,1:31.112
3,10,Marco Wittmann,Signature,1:31.841,1:31.463
4,16,Roberto Merhi,Mücke Motorsport,1:31.991,1:31.641
5,17,Carlos Muñoz,Mücke Motorsport,1:32.127,1:31.667
6,18,Nigel Melker,Mücke Motorsport,1:32.667,1:31.687
7,9,Edoardo Mortara,Signature,1:31.812,1:31.713
8,4,Jean-Éric Vergne,Carlin,1:31.992,1:31.765
9,15,William Buller,Hitech Racing,1:32.747,1:31.780
10,3,Jim Pla,ART Grand Prix,1:32.544,1:31.812
11,27,António Félix da Costa,Motopark Academy,1:32.150,1:31.969
12,21,Daniel Juncadella,Prema Powerteam,1:36.221,1:31.993
13,5,Jazeman Jaafar,Carlin,1:32.724,1:32.070
14,11,Laurens Vanthoor,Signature,1:32.077,no time
15,12,Stef Dusseldorp,Signature,1:32.868,1:32.086
16,7,Rupert Svendsen-Cook,Carlin,1:33.008,1:32.125
17,14,Gabriel Dias,Hitech Racing,1:32.803,1:32.238
18,22,Nicolas Marroc,Prema Powerteam,1:33.008,1:32.430
19,6,Lucas Foresti,Carlin,1:33.046,1:32.529
20,28,Matias Laine,Motopark Academy,1:33.170,1:32.569
