Title,Developer ( s ),Platform ( s ),Original release,Region ( s ) released
Kanon,Key,PlayStation Portable,"February 15 , 2007",JP
Snow : Portable,Studio Mebius,PlayStation Portable,"August 16 , 2007",JP
Air,Key,PlayStation Portable,"November 22 , 2007",JP
Clannad,Key,PlayStation Portable,"May 29 , 2008",JP
Shinkyoku Sōkai Polyphonica : 0-4-wa Full Pack,Ocelot,PlayStation Portable,"June 26 , 2008",JP
Tomoyo After : It 's a Wonderful Life CS Edition,Key,PlayStation Portable,"March 19 , 2009",JP
Heart no Kuni no Alice,Quin Rose,PlayStation Portable,"August 20 , 2009",JP
Planetarian : The Reverie of a Little Planet,Key,PlayStation Portable,"August 24 , 2009",JP
Arabians Lost : The Engagement on Desert,Quin Rose,Nintendo DS,"September 10 , 2009",JP
Gakuen Heaven : Boy 's Love Scramble !,Spray,PlayStation Portable,"November 26 , 2009",JP
Clannad : Hikari Mimamoru Sakamichi de,"Key , Prototype",PlayStation Portable,"June 3 , 2010 ( volume 1 ) July 15 , 2010 ( volume 2 )",JP
Hanakisō,HaccaWorks*,PlayStation Portable,"September 22 , 2010",JP
Little Busters ! Converted Edition,Key,PlayStation Portable,"November 25 , 2010",JP
Gakuen Heaven : Okawari !,Spray,PlayStation Portable,"February 10 , 2011",JP
Amatsumi Sora ni ! Kumo no Hatate ni,Clochette,PlayStation Portable,"February 16 , 2012",JP
Little Busters ! Converted Edition,Key,PlayStation Vita,"March 22 , 2012",JP
Sangoku Koi Senki : Otome no Heihō !,Daisy2,PlayStation Portable,"July 26 , 2012",JP
Grisaia no Kajitsu : Le Fruit de la Grisaia,Front Wing,PlayStation Portable,"February 21 , 2013",JP
Sangoku Koi Senki : Otome no Heihō !,Daisy2,PlayStation Vita,"April 25 , 2013",JP
Kud Wafter Converted Edition,Key,PlayStation Portable,"May 9 , 2013",JP
