Award,Named after,Field,Achievement
Tanabe Hisao Prize,Hisao Tanabe,Ethnomusicology,
Tanizaki Prize,Jun'ichirō Tanizaki,Literature,
Taylor Swift Award,Taylor Swift,Music,
Templeton Prize,John Templeton,Religion,"Exceptional contribution to affirming life 's spiritual dimension , whether through insight , discovery , or practical works"
Tezuka Award,Osamu Tezuka,Manga,Outstanding new artist in the story manga genre
Tezuka Osamu Cultural Prize,Osamu Tezuka,Manga,Outstanding works or accomplishment in four categories
Irving G. Thalberg Memorial Award,Irving Thalberg,Cinema,"Awarded periodically as part of the Academy Awards to creative producers , whose bodies of work reflect a consistently high quality of motion picture production"
Thomas Cup,George Alan Thomas,Badminton,World championship for men 's national teams
Timoshenko Medal,Stephen Timoshenko,Mechanical engineering,Distinguished contributions to the field of applied mechanics
Wayman Tisdale Award,Wayman Tisdale,Basketball,"Outstanding freshman player in NCAA Division I men 's college basketball , as chosen by the United States Basketball Writers Association"
Tolman Award,Richard C. Tolman,Chemistry,Outstanding contributions to chemistry in Southern California
Lance Todd Trophy,Lance Todd,Rugby league,Man of the match in the Challenge Cup final
George M. Trautman Awards,George M. Trautman,Baseball,Player of the year in each individual North American minor league
Turing Award,Alan Turing,Computer science,Contributions of a technical nature ... of lasting and major technical importance to the computer field
Twyman-Stokes Teammate of the Year Award,Jack Twyman and Maurice Stokes,Basketball,"The ideal teammate in the NBA , as determined each season by the league 's players"
J . B. Tyrrell Historical Medal,Joseph Tyrrell,History,Outstanding work in the history of Canada
