Club,City,Stadium,Capacity
Bisceglie,Bisceglie,Gustavo Ventura,"5,000"
Casertana,Caserta,Alberto Pinto,"12,000"
Catania,Catania,Angelo Massimino,"20,266"
Catanzaro,Catanzaro,Nicola Ceravolo,"14,650"
Cavese,Cava de ' Tirreni,Simonetta Lamberti,"5,200"
Juve Stabia,Castellammare di Stabia,Romeo Menti,"7,642"
Matera,Matera,Stadio XXI Settembre-Franco Salerno,"8,500"
Monopoli,Monopoli,Vito Simone Veneziani,"6,880"
Paganese,Pagani,Marcello Torre,"5,900"
Potenza,Potenza,Alfredo Viviani,"6,000"
Reggina,Reggio Calabria,Oreste Granillo,"27,454"
Rende,Rende,Marco Lorenzon,"5,000"
Rieti,Rieti,Manlio Scopigno,"10,163"
Sicula Leonzio,Lentini,Angelino Nobile,"2,500"
Trapani,Trapani,Polisportivo Provinciale,"7,000"
Vibonese,Vibo Valentia,Luigi Razza,"6,500"
Virtus Francavilla,Francavilla Fontana,Giovanni Paolo II,"5,000"
Viterbese Castrense,Viterbo,Enrico Rocchi,"5,460"
