Postcode district,Post town,Coverage,Local authority area
NP4,PONTYPOOL,"Pontypool , Blaenavon , Little Mill , Griffithstown , parts of Glascoed","Torfaen , Monmouthshire"
NP7,ABERGAVENNY,Abergavenny,"Monmouthshire , Herefordshire"
NP8,CRICKHOWELL,"Crickhowell , Ffawyddog",Powys
NP10,NEWPORT,"Western Newport , including Bassaleg , Duffryn , Rogerstone",Newport
NP11,NEWPORT,"North-western Newport , including : Abercarn , Crumlin , Cwmfelinfach , Risca , Ynysddu",Caerphilly
NP12,BLACKWOOD,"Blackwood , Pontllanfraith , Wyllie",Caerphilly
NP13,ABERTILLERY,Abertillery,Blaenau Gwent
NP15,USK,"Usk , Raglan",Monmouthshire
NP16,CHEPSTOW,"Chepstow , Sedbury , Beachley","Monmouthshire , Forest of Dean"
NP18,NEWPORT,"Eastern Newport , including Caerleon , Langstone , Llanwern , Nash , Llandegveth Underwood","Newport , Monmouthshire , Torfaen"
NP19,NEWPORT,"Eastern and East Central Newport , including : Beechwood , Maindee , St. Julians , Ringland",Newport
NP20,NEWPORT,"Western and West Central Newport , including : City centre , Pill , Maesglas , Crindau , Malpas , Bettws",Newport
NP22,TREDEGAR,"Tredegar , Rhymney","Blaenau Gwent , Caerphilly"
NP23,EBBW VALE,"Ebbw Vale , Brynmawr , Cwm",Blaenau Gwent
NP24,NEW TREDEGAR,New Tredegar,Caerphilly
NP25,MONMOUTH,"Monmouth , Wyesham , Redbrook , Welsh Newton","Monmouthshire , Forest of Dean , Herefordshire"
NP26,CALDICOT,"Caldicot , Magor , Newport","Monmouthshire , Newport"
NP44,CWMBRAN,Cwmbran,Torfaen
