Games,Year,Host city,Host country,Best Nation
I,1930,"Hamilton , Ontario",Canada,England
II,1934,London,England,England
III,1938,"Sydney , New South Wales",Australia,New Zealand
IV,1950,Auckland,New Zealand,New Zealand
V,1954,"Vancouver , British Columbia",Canada,"Southern Rhodesia , South Africa"
VI,1958,Cardiff,Wales,South Africa
VII,1962,"Perth , Western Australia",Australia,England
IX,1970,Edinburgh,Scotland,England
X,1974,Christchurch,New Zealand,England
XI,1978,"Edmonton , Alberta",Canada,Hong Kong
XII,1982,"Brisbane , Queensland",Australia,Scotland
XIII,1986,Edinburgh,Scotland,Wales
XIV,1990,Auckland,New Zealand,Australia
XV,1994,"Victoria , British Columbia",Canada,Scotland
XVI,1998,Kuala Lumpur,Malaysia,South Africa
XVII,2002,Manchester,England,England
XVIII,2006,"Melbourne , Victoria",Australia,Australia
XIX,2010,Delhi,India,South Africa
XX,2014,Glasgow,Scotland,South Africa
XXI,2018,"Gold Coast , Queensland",Australia,Australia
