Institution,Nickname,Status,Founded,Affiliation,Location
FEATI University,FEATI Seahawks,Private,1946,Non-Sectarian,"Santa Cruz , Manila"
University of the Assumption,UA Blue Pelicans,Private,1963,Roman Catholic - Archdiocesan,"San Fernando City , Pampanga"
Central Colleges of the Philippines,CCP Bobcats,Private,1954,Non-Sectarian,"Aurora Blvd. , Quezon City"
De La Salle Araneta University,DLS-AU Cowboys,Private,1946,Roman Catholic - Lasallian,Malabon City
De Ocampo Memorial Colleges,DOMC Cobras,Private,1962,Non-Sectarian,"Santa Mesa , Manila"
Las Piñas College,LPC Blue Lions,Private,1975,Non-Sectarian,"Almanza , Las Piñas City"
Manuel L. Quezon University,MLQU Stallions,Private,1947,Non-Sectarian,"Santa Cruz , Manila"
Metro Manila College,MMC Bisons,Private,1947,Non-Sectarian,"Novaliches , Quezon City"
Philippine College of Criminology,PCCr Enforcers,Private,1954,Non-Sectarian,"Santa Cruz , Manila"
PMI Colleges,PMI Admirals,Private,1948,Non-Sectarian,"Sta . Cruz , Manila"
Saint Jude College,SJC Crusaders,Private,1968,Roman Catholic,"Dimasalang , Sampaloc , Manila"
Trinity University of Asia,TUA Broncos,Private,1963,Episcopalian / Aglipayan,Quezon City
Technological Institute of the Philippines,TIP Engineers,Private,1962,Non-Sectarian,Quezon City
World Citi Colleges,WCC Vikings,Private,1979,Non-Sectarian,"Cubao , Quezon City"
