Church,Locality,Denomination
Altrincham Methodist Church,Altrincham,Methodist
Altrincham Unitarian Church,Altrincham,Unitarian
Bowdon Downs Church,Altrincham,
"Christ Church , Timperley",Altrincham,
Church of St Alban,Altrincham,Church of England
Church of St George,Altrincham,Church of England
Church of St John the Evangelist,Altrincham,
Church of St Margaret,Altrincham,
Church of St John the Divine,Altrincham,
Hale Chapel,Altrincham,
St Vincent 's RC Church,Altrincham,Roman Catholic
Trinity United Reformed Church,Altrincham,United Reformed Church
Church of St Mary the Virgin,Bowdon,Church of England
St George 's Church,Carrington,Church of England
St Michael 's Church,Flixton,Church of England
Kingdom Hall,Old Trafford,Jehovah 's Witnesses
New Testament Church of God,Old Trafford,Pentecostal
Sharon Full Gospel Church,Old Trafford,Pentecostal
St Alphonsus,Old Trafford,Roman Catholic
St Bride 's,Old Trafford,Church of England
