Name of aircraft,Year in service,Country of origin
Aeronautica Lombarda A.R . radio controlled flying bomb,1943,Italy
Airspeed AS.30 Queen Wasp target drone,1937,UK
Culver PQ-8 target drone,1940,US
Culver PQ-14 Cadet target drone,1942,US
de Havilland DH.82 Queen Bee target drone,1935,UK
Fieseler Fi 103R manned missile,1944,Germany
Henschel Hs 293 guided missile,1943,Germany
Interstate TDR assault drone,1944,US
McDonnell TD2D Katydid target drone,1942,US
Naval Aircraft Factory TDN assault drone,1942,US
Naval Aircraft Modification Unit KDN Gorgon target drone,1945,US
Radioplane OQ-2 target drone,1939,US
V-1 Flying Bomb surface to surface cruise missile,1943,Germany
V-2 rocket surface to surface ballistic missile,1944,Germany
Yokosuka MXY7 Ohka manned missile,1945,Japan
