#,Pos,Name,DoB/Age,Height,Club
4,Guard,Quinn Cook,( 1993-03-23 ) 23 March 1993 ( aged 17 ),1.86 metres ( 6.1 ft ),DeMatha Catholic High School
5,Guard,Anthony Wroten,( 1993-04-13 ) 13 April 1993 ( aged 17 ),1.96 metres ( 6.4 ft ),Garfield High School
6,Guard,Marquis Teague,( 1993-02-28 ) 28 February 1993 ( aged 17 ),1.89 metres ( 6.2 ft ),Pike High School
7,Guard,Chasson Randle,( 1993-02-05 ) 5 February 1993 ( aged 17 ),1.89 metres ( 6.2 ft ),Rock Island High School
8,Guard,Bradley Beal,( 1993-06-28 ) 28 June 1993 ( aged 17 ),1.91 metres ( 6.3 ft ),Chaminade College Preparatory School
9,Forward,Michael Gilchrist,( 1993-09-26 ) 26 September 1993 ( aged 16 ),2.01 metres ( 6.6 ft ),St. Patrick High School
10,Guard/Forward,Justin Anderson,( 1993-11-19 ) 19 November 1993 ( aged 16 ),1.99 metres ( 6.5 ft ),Montrose Christian School
11,Guard/Forward,Adonis Thomas,( 1993-03-25 ) 25 March 1993 ( aged 17 ),1.99 metres ( 6.5 ft ),Melrose High School
12,Forward,James Michael McAdoo,( 1993-01-04 ) 4 January 1993 ( aged 17 ),2.03 metres ( 6.7 ft ),Norfolk Christian Schools
13,Forward,Johnny O'Bryant,( 1993-06-01 ) 1 June 1993 ( aged 17 ),2.09 metres ( 6.9 ft ),East Side High School
14,Center,Tony Parker,( 1993-09-18 ) 18 September 1993 ( aged 16 ),2.03 metres ( 6.7 ft ),Miller Grove High School
15,Center,Andre Drummond,( 1993-08-10 ) 10 August 1993 ( aged 16 ),2.11 metres ( 6.9 ft ),St. Thomas More School
