Original NFL team,Player,Pos,College,Conf
Baltimore Colts,Mark Smolinski,FB / TE,Wyoming,MSC
Cleveland Browns,Charley Ferguson,TE,Tennessee State,Midwestern
Chicago Bears,Art Anderson,OT,Idaho,Ind
Chicago Bears,Roosevelt Taylor,S,Grambling State,SWAC
Dallas Cowboys,Dave Grayson,CB,Oregon State,Ind
Dallas Cowboys,Warren Livingston,CB,Arizona,BIAA
Dallas Cowboys,Amos Marsh,RB,Oregon State,Ind
Detroit Lions,Pat Studstill,WR,Houston,Ind
Pittsburgh Steelers,Willie Daniel,CB,Mississippi State,SEC
San Francisco 49ers,J.W . Lockett,FB,Central Oklahoma,OCAC
