Territory,Conditions of access,Notes
Abkhazia,Visa required,
Kosovo,Visa not required,90 days
Northern Cyprus,Visa not required,
Nagorno-Karabakh,Visa required,Travellers with Nagorno-Karabakh visa ( expired or valid ) or evidence of travel to Nagorno-Karabakh ( stamps ) will be permanently denied entry to Azerbaijan
Palestine,Visa not required,Arrival by sea to Gaza Strip not allowed
Sahrawi Arab Democratic Republic,,Undefined visa regime in the Western Sahara controlled territory
Somaliland,Visa on arrival,"30 days for 30 US dollars , payable on arrival"
South Ossetia,Visa not required,Multiple entry visa to Russia and three day prior notification are required to enter South Ossetia
Taiwan,eVisa,
Transnistria,Visa not required,Registration required after 24h
