No,Partner,Year
1,Zeeshan Ali,1990
2,Ramesh Krishnan,1991-1993
3,Juan Rios,1991
4,Charlton Eagle,1991
5,Andrew Sznajder,1992
6,Bertrand Madsen,1992
7,Nicola Bruno,1992
8,Kevin Ullyett,"1992 , 1995 , 1997"
9,Nicklas Utgren,1992
10,Todd Nelson,"1992 , 1993"
11,Gilad Bloom,"1992 , 1994"
12,Donald Johnson,"1992-1994 , 1996 , 2003"
13,Tommy Ho,1993
14,Vladimir Gabrichidze,1993
15,Arne Thoms,1993
16,Byron Black,"1993 , 2000"
17,Laurence Tieleman,"1993 , 1995"
18,Fernon Wibier,1993
19,Oliver Fernandez,1993
20,Jean-Philippe Fleurian,1993
