Name,Relationship,Discipline,Notability
Lincoln Alexander,Undergraduate,History & Political Economics,"Lieutenant Governor of Ontario , Member of Parliament of Canada"
Glyn Berry,Graduate,Political Science,First Canadian diplomat killed in Afghanistan while on duty
John H. Bryden,Undergraduate,History,Member of Parliament of Canada
Sheila Copps,Graduate,-,"Deputy Prime Minister of Canada , Member of Parliament of Canada"
Gordon Howlett Dean,Graduate,Chemistry & Physics,"Minister of Revenue for Ontario , Member of Provincial Parliament of Ontario"
Tony Dean,Graduate,Sociology,Secretary of the Cabinet for Ontario
Bob Dechert,Undergraduate,Economics,Member of Parliament of Canada
Frank Di Giorgio,Undergraduate,Mathematics,Member of the Toronto City Council
Tommy Douglas,Graduate,Sociology,"Premier of Saskatchewan , leader of the New Democratic Party"
Rick Goldring,Undergraduate,Economics,"Mayor of Burlington , Ontario"
Andrea Horwath,Undergraduate,Labour Studies,"Member of Provincial Parliament of Ontario , leader of the Ontario New Democratic Party"
Eric Hoskins,Graduate,Medicine,"Member of Provincial Parliament of Ontario , co-founder and President of War Child Canada"
Cam Jackson,Undergraduate,-,"Member of Provincial Parliament of Ontario , Mayor of Burlington , Ontario"
David Johnson,Undergraduate,Mathematics,"Minister of Education for Ontario , Member of Provincial Parliament of Ontario , Mayor of East York"
Roy Kellock,Undergraduate,-,Puisne Justice of the Supreme Court of Canada
Stanley Knowles,Undergraduate,-,Member of Parliament of Canada
Kevin G. Lynch,Graduate,Economics,Clerk of the Privy Council of Canada
Dalton McGuinty,Undergraduate,Biology,"Premier of Ontario , leader of the Ontario Liberal Party"
Ted McMeekin,Undergraduate,Social Work,Minister of Municipal Affairs and Housing in the Ontario Government
Tony McWalter,Graduate,Philosophy,Member of Parliament of the United Kingdom of Great Britain and Northern Ireland
