Language Name,Number of speakers,Location
Korku,"727,100","Madhya Pradesh , Maharashtra"
Birjia,"25,000","Jharkhand , West Bengal"
Korwa,"28,400","Jharkhand , Chhattisgarh , Odisha , Uttar Pradesh"
Mundari ( inc. Bhumij dialect ),"1,100,000","Jharkhand , Odisha , Bihar , Assam , Chhattisgarh , West Bengal"
Asur,"7,000","Jharkhand , Chhattisgarh , Odisha"
Koda,"47,300",Bangladesh
Ho,"1,400,000","Jharkhand , Odisha , West Bengal , Bihar , Chhattisgarh , Assam , Madhya Pradesh , Uttar Pradesh"
Birhor,"2,000","Jharkhand , Chhattisgarh , Odisha , West Bengal"
Santali,"7,400,000","West Bengal , Odisha , Jharkhand , Bihar"
Mahali,"33,000","Jharkhand , Odisha , West Bengal"
Turi,"2,000","Odisha , Jharkhand , Chhattisgarh , West Bengal"
Kharia,"298,000","Odisha , Chhattisgarh , Jharkhand"
Juang,"30,400",Odisha
Gta,"3,000",Odisha
Bonda,"9,000",Odisha
Gutob,"8,000","Odisha , Andhra Pradesh"
Gorum,"9,400","Odisha , Andhra Pradesh"
Sora,"410,000","Odisha , Andhra Pradesh"
Juray,"801,000",Odisha
Lodhi,"25,000","Odisha , West Bengal"
