Name,State,Appointment,Presentation,Termination
"William Christian Bullitt , Jr",Pennsylvania,"November 21 , 1933","December 13 , 1933","May 16 , 1936"
Joseph E. Davies,District of Columbia,"November 16 , 1936","January 25 , 1937","June 11 , 1938"
Laurence A. Steinhardt,New York,"March 23 , 1939","August 11 , 1939","November 12 , 1941"
William H. Standley,California,"February 14 , 1942","April 14 , 1942","September 19 , 1943"
W. Averell Harriman,New York,"October 7 , 1943","October 23 , 1943","January 24 , 1946"
Walter Bedell Smith,District of Columbia,"March 22 , 1946","April 3 , 1946","December 25 , 1948"
Alan G. Kirk,New York,"May 21 , 1949","July 4 , 1949","October 6 , 1951"
George F. Kennan,Pennsylvania,"March 14 , 1952","May 14 , 1952","September 19 , 1952"
Charles E. Bohlen,District of Columbia,"March 27 , 1953","April 20 , 1953","April 18 , 1957"
Llewellyn Thompson,Colorado,"June 3 , 1957","July 16 , 1957","July 27 , 1962"
Foy D. Kohler,Ohio,"August 20 , 1962","September 27 , 1962","November 14 , 1966"
Llewellyn Thompson,Colorado,"October 13 , 1966","January 23 , 1967","January 14 , 1969"
Jacob D. Beam,New Jersey,"March 14 , 1969","April 18 , 1969","January 24 , 1973"
"Walter J. Stoessel , Jr",California,"December 19 , 1973","March 4 , 1974","September 13 , 1976"
Malcolm Toon,New York,"November 24 , 1976","January 18 , 1977","October 16 , 1979"
"Thomas J. Watson , Jr",Connecticut,"October 10 , 1979","October 29 , 1979","January 15 , 1981"
Arthur A. Hartman,Maryland,"September 28 , 1981","October 26 , 1981","February 20 , 1987"
"Jack F. Matlock , Jr",Florida,"March 12 , 1987","April 6 , 1987","August 11 , 1991"
Robert S. Strauss,Texas,"August 2 , 1991","August 24 , 1991","November 19 , 1992"
