Year,Title,Role,Notes
2001-2005,The Young and the Restless,Colleen Carlton,Regular role
2003,Boston Public,Jenn Cardell,4 episodes
2004,Malcolm in the Middle,Olivia,Episode : Lois ' Sister
2004,NYPD Blue,Madison Bernstein,Episode : Colonel Knowledge
2004,Switched !,Herself,Episode : Lyndsy/Jessie
2005,"I Do , They Do n't",Sandy Barber,Television film
2005,Ordinary Miracles,Sally Anne Powell,Television film
2005,Cyber Seduction : His Secret Life,Amy,Television film
2005-2014,How I Met Your Mother,Penny Mosby,Recurring role ( 65 episodes ) - all scenes filmed between 2005 and 2007
2006,Waterfront,Annabelle Marks,Unaired CBS series
2006-2009,Big Love,Donna,Recurring role ( 6 episodes )
2006,Phil of the Future,Kristy,Episode : Not-So-Great Great Great Grandpa
2007,Close to Home,Jessica Conlon,Episode : Hoosier Hold Em
2007,CSI : Crime Scene Investigation,Megan Cooper,Episode : Fallen Idols
2007,House,Addie,Episode : Resignation
2007,Heroes,April,Episode : Four Months Later
2007-2009,Desperate Housewives,Dylan Mayfair,Recurring role ( 15 episodes )
2010-2013,Nikita,Alex Udinov,Main role
2011,Five,Cheyanne,Television film
2015-2016,Marvel 's Agent Carter,Angie Martinelli,Recurring role ( season 1 ) ; guest role ( season 2 )
