Rank,Airport,Serves,Total passengers,Annual change
1,Rome Leonardo da Vinci-Fiumicino,Rome,"42,995,119",4.9%
2,Milan Malpensa,Milan,"24,725,490",11.5%
3,Orio al Serio,Milan,"12,938,572",4.9%
4,Venice Marco Polo,Venice,"11,184,608",7.8%
5,Catania,Catania,"9,933,318",8.9%
6,Naples,Naples,"9,932,029",15.8%
7,Milan Linate,Milan,"9,233,475",3.3%
8,Bologna,Bologna,"8,506,658",3.8%
9,Palermo,Palermo,"6,628,558",14.8%
10,Rome Ciampino,Rome,"5,839,737",0.8%
11,Pisa,Pisa,"5,463,090",4.4%
12,Bari,Bari,"5,030,760",7.4%
13,Cagliari,Cagliari,"4,370,014",5.1%
14,Turin,Turin,"4,084,923",2.2%
15,Verona,Verona,"3,459,807",11.6%
16,Treviso,Treviso,"3,308,955",9.7%
17,Olbia,Olbia,"2,999,253",6.7%
18,Lamezia Terme,Lamezia Terme,"2,756,211",8.2%
19,Florence,Florence,"2,719,081",2.3%
20,Brindisi,Brindisi,"2,478,856",6.8%
