Name,Lat . / Long,Dia,Name Origin
Montes Agricola,29°04′N 54°04′W / 29.06°N 54.07°W / 29.06 ; -54.07,141 km,"Georgius Agricola , Earth scientist"
Montes Alpes,48°22′N 0°35′W / 48.36°N 0.58°W / 48.36 ; -0.58,281 km,"The Alps , Europe"
Montes Apenninus,19°52′N 0°02′W / 19.87°N 0.03°W / 19.87 ; -0.03,401 km,"The Apennine Mountains , Italy"
Montes Archimedes,25°23′N 5°15′W / 25.39°N 5.25°W / 25.39 ; -5.25,163 km,Named after nearby crater Archimedes
Montes Carpatus,14°34′N 23°37′W / 14.57°N 23.62°W / 14.57 ; -23.62,361 km,"The Carpathian Mountains , Europe"
Montes Caucasus,37°31′N 9°56′E / 37.52°N 9.93°E / 37.52 ; 9.93,445 km,"The Caucasus Mountains , Europe"
Montes Cordillera,17°30′S 79°30′W / 17.5°S 79.5°W / -17.5 ; -79.5,574 km,Spanish for mountain chain
Montes Haemus,17°07′N 12°02′E / 17.11°N 12.03°E / 17.11 ; 12.03,560 km,Greek name for the Balkan Mountains
Montes Harbinger,26°53′N 41°17′W / 26.89°N 41.29°W / 26.89 ; -41.29,90 km,Harbingers of dawn on the crater Aristarchus
Montes Jura,47°29′N 36°07′W / 47.49°N 36.11°W / 47.49 ; -36.11,422 km,"The Jura Mountains , Europe"
Montes Pyrenaeus,14°03′S 41°31′E / 14.05°S 41.51°E / -14.05 ; 41.51,164 km,"The Pyrenees Mountains , Europe"
Montes Recti,48°18′N 19°43′W / 48.3°N 19.72°W / 48.3 ; -19.72,90 km,Latin for straight range
Montes Riphaeus,7°29′S 27°36′W / 7.48°S 27.60°W / -7.48 ; -27.60,189 km,"Greek name for the Ural Mountains , Russia"
Montes Rook,20°36′S 82°30′W / 20.6°S 82.5°W / -20.6 ; -82.5,791 km,"Lawrence Rook , astronomer"
Montes Secchi,2°43′N 43°10′E / 2.72°N 43.17°E / 2.72 ; 43.17,50 km,Named after nearby crater Secchi
Montes Spitzbergen,34°28′N 5°13′W / 34.47°N 5.21°W / 34.47 ; -5.21,60 km,Named after German for sharp peaks and for resemblance to the Spitsbergen islands
Montes Taurus,27°19′N 40°20′E / 27.32°N 40.34°E / 27.32 ; 40.34,172 km,"Taurus Mountains , Asia Minor"
Montes Teneriffe,47°53′N 13°11′W / 47.89°N 13.19°W / 47.89 ; -13.19,182 km,Tenerife island
