Rank,Airport,Location,Code ( IATA/ICAO ),Total Cargo ( tons ),% Change
1,Hong Kong International Airport,"Chek Lap Kok , Islands , New Territories , Hong Kong",HKG/VHHH,"4,521,000",2.23%
2,Memphis International Airport,"Memphis , Tennessee , United States",MEM/KMEM,"4,291,368",0.017%
3,Shanghai Pudong International Airport,"Pudong , Shanghai , China",PVG/ZSPD,"3,440,280",5.03%
4,Ted Stevens Anchorage International Airport,"Anchorage , Alaska , United States",ANC/PANC,"2,762,501",5.01%
5,Incheon International Airport,"Incheon , Seoul National Capital Area , South Korea",ICN/RKSI,"2,714,341",4.57%
6,Dubai International Airport,"Dubai , United Arab Emirates",DXB/OMDB,"2,534,786",1.30%
7,Louisville International Airport,"Louisville , Kentucky , United States",SDF/KSDF,"2,407,307",2.41%
8,Frankfurt am Main International Airport,"Flughafen , Frankfurt , Hesse , Germany",FRA/EDDF,"2,150,000",3.50%
9,Charles de Gaulle Airport,"Seine-et-Marne / Seine-Saint-Denis / Val-d'Oise , Île-de-France , France",CDG/LFPG,"2,088,795",0.1%
10,Narita International Airport,"Narita , Chiba , Kantō , Honshū , Japan",NRT/RJAA,"2,085,276",1.74%
11,Los Angeles International Airport,"Los Angeles , California , United States",LAX/KLAX,"2,039,627",5.21%
12,Miami International Airport,"Miami , Florida , United States",MIA/KMIA,"2,012,193",0.35%
13,Taiwan Taoyuan International Airport,"Dayuan , Taoyuan , Taiwan",TPE/RCTP,"1,979,406",2.1%
14,Singapore Changi Airport,"Changi , East Region , Singapore",SIN/WSSS,"1,907,756",1.1%
15,Beijing Capital International Airport,"Chaoyang - Shunyi , Beijing , China",PEK/ZBAA,"1,831,167",3.10%
16,Hamad International Airport,"Doha , Qatar",DOH/OTBD,"1,758,075",20.80%
17,Chicago O'Hare International Airport,"Chicago , Illinois , United States",ORD/KORD,"1,726,362",8.38%
18,Amsterdam Airport Schiphol,"Haarlemmermeer , North Holland , Netherlands",AMS/EHAM,"1,700,000",2.70%
19,Guangzhou Baiyun International Airport,"Baiyun - Huadu , Guangzhou , Guangdong , China",CAN/ZGGG,"1,652,215",7.44%
20,London Heathrow International Airport,"Hayes , Hillingdon , Greater London , United Kingdom",LHR/EGLL,"1,541,029",3.17%
