Rank,Metropolitan Area,Mexican State,American State,Population
1,Tijuana - San Diego,Baja California,California,"5,009,170"
2,El Paso - Juarez,Chihuahua,Texas,"2,345,182"
3,Reynosa - McAllen,Tamaulipas,Texas,"1,500,000"
4,Matamoros - Brownsville,Tamaulipas,Texas,"1,136,995"
5,Mexicali - Calexico,Baja California,California,"956,223"
6,Nuevo Laredo - Laredo,Tamaulipas,Texas,"747,494"
7,Nogales - Nogales,Sonora,Arizona,"234,809"
8,Piedras Negras - Eagle Pass,Coahuila,Texas,"230,205"
9,San Luis Río Colorado - San Luis,Sonora,Arizona,"188,152"
10,Ciudad Acuña - Del Río,Coahuila,Texas,"183,750"
