,Name on the Register,Date listed,Location,City or town
1,Acquinsicke,"February 20 , 1992 ( # 92000070 )",Billingsley Rd . west of its junction with Maryland Route 228 38°36′30″N 77°02′14″W / 38.608333°N 77.037222°W / 38.608333 ; -77.037222 ( Acquinsicke ),Pomfret
2,Araby,"July 25 , 1974 ( # 74000947 )",Southeast of Mason on Maryland Route 425 38°34′43″N 77°06′54″W / 38.578611°N 77.115°W / 38.578611 ; -77.115 ( Araby ),Mason 's Springs
3,Bryantown Historic District,"March 14 , 1985 ( # 85000590 )",Maryland Route 5 and County Route 232 38°33′11″N 76°50′39″W / 38.553056°N 76.844167°W / 38.553056 ; -76.844167 ( Bryantown Historic District ),Bryantown
4,Cedar Grove,"March 2 , 1979 ( # 79001124 )",South of La Plata off Maryland Route 6 west of Blossom Point Rd . 38°28′50″N 77°04′22″W / 38.480556°N 77.072778°W / 38.480556 ; -77.072778 ( Cedar Grove ),La Plata
5,Ellerslie,"September 24 , 1979 ( # 79003264 )",West of Port Tobacco on Maryland Route 6 38°30′20″N 77°02′29″W / 38.505556°N 77.041389°W / 38.505556 ; -77.041389 ( Ellerslie ),Port Tobacco
6,The Exchange,"June 7 , 1984 ( # 84001763 )",7310 Greenland Place 38°30′54″N 76°58′23″W / 38.515°N 76.973056°W / 38.515 ; -76.973056 ( The Exchange ),La Plata
7,Green 's Inheritance,"December 16 , 1977 ( # 77000692 )",Northeast of Pomfret on Maryland Route 227 38°35′19″N 77°01′13″W / 38.588611°N 77.020278°W / 38.588611 ; -77.020278 ( Green 's Inheritance ),Pomfret
8,Habre-de-Venture ; Thomas Stone National Historic Site,"October 31 , 1972 ( # 72001595 )","6655 Rose Hill Rd. , near its junction with Maryland Routes 6 and 225 38°31′55″N 77°01′53″W / 38.531944°N 77.031389°W / 38.531944 ; -77.031389 ( Habre-de-Venture ; Thomas Stone National Historic Site )",Port Tobacco
9,The Hermitage,"July 23 , 1998 ( # 98000886 )",Washington Ave. 38°32′02″N 76°58′52″W / 38.533889°N 76.981111°W / 38.533889 ; -76.981111 ( The Hermitage ),La Plata
10,Johnsontown Tobacco Barn No . 2,"December 27 , 2011 ( # 11000947 )",9830 Johnsontown Rd . 38°29′12″N 76°58′17″W / 38.486547°N 76.971419°W / 38.486547 ; -76.971419 ( Johnsontown Tobacco Barn No . 2 ),La Plata vicinity
11,La Grange,"October 22 , 1976 ( # 76000990 )","Maryland Route 6 , west of U.S. Route 301 38°31′27″N 76°59′28″W / 38.524167°N 76.991111°W / 38.524167 ; -76.991111 ( La Grange )",La Plata
12,Linden,"November 23 , 1977 ( # 77000693 )",North of Port Tobacco on Mitchell Rd . 38°33′16″N 77°00′46″W / 38.554444°N 77.012778°W / 38.554444 ; -77.012778 ( Linden ),Port Tobacco
13,The Lindens,"April 23 , 1990 ( # 90000607 )",Maryland Route 488 38°33′07″N 76°52′32″W / 38.551944°N 76.875556°W / 38.551944 ; -76.875556 ( The Lindens ),Bryantown
14,Locust Grove,"July 21 , 1978 ( # 78001454 )",West of La Plata on Maryland Route 225 38°32′32″N 77°01′22″W / 38.542222°N 77.022778°W / 38.542222 ; -77.022778 ( Locust Grove ),La Plata
15,Mallows Bay-Widewater Historic and Archeological District,"April 24 , 2015 ( # 15000173 )",Off Charles County shoreline at Sandy Pt . 38°28′21″N 77°16′07″W / 38.4726°N 77.2686°W / 38.4726 ; -77.2686 ( Mallows Bay-Widewater Historic and Archeological District ),Nanjemoy vicinity
16,Marshall Hall,"May 12 , 1976 ( # 76000152 )",5 miles north of Maryland Routes 210 and 227 38°41′06″N 77°05′55″W / 38.685°N 77.098611°W / 38.685 ; -77.098611 ( Marshall Hall ),Bryans Road
17,Maxwell Hall,"July 30 , 1974 ( # 74000949 )",East of Patuxent on Teagues Point Rd . 38°32′04″N 76°42′01″W / 38.534444°N 76.700278°W / 38.534444 ; -76.700278 ( Maxwell Hall ),Patuxent
18,McPherson 's Purchase,"January 3 , 1985 ( # 85000019 )",Maryland Route 227 38°35′56″N 77°02′51″W / 38.598889°N 77.0475°W / 38.598889 ; -77.0475 ( McPherson 's Purchase ),Pomfret
19,Mount Air,"December 22 , 1978 ( # 78001453 )",West of Faulkner off U.S. Route 301 38°26′12″N 76°59′50″W / 38.436667°N 76.997222°W / 38.436667 ; -76.997222 ( Mount Air ),Faulkner
20,Mount Aventine,"April 18 , 1996 ( # 94001328 )",1.8 miles southwest of Bryans Rd . on the northwestern side of Chapman 's Landing Rd . 38°37′04″N 77°07′03″W / 38.617778°N 77.1175°W / 38.617778 ; -77.1175 ( Mount Aventine ),Bryans Road
