Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Alianza Lima,Wilmar Valencia,Henry Quinteros,Nike,none
Cienciano,Mario Viera,Santiago Acasiete,Walon,none
Inti Gas,César Tabares,Nick Montalva,Real,Inti Gas
José Gálvez,Javier Arce,Paul Ramos,Real,SIDERPERU /Megaplaza
Juan Aurich,José Mari Bakero,Leandro Fleitas,Walon,Café Altomayo/Azúcar Pomalca
León de Huánuco,Édgard Ospina,Johan Fano,Triathlon,Hongyan Trucks/Lishide Vehicles
Melgar,Marcelo Straccia,Antonio Meza Cuadra,Marathon,none
Pacífico,Juan Carlos Bazalar,Johnny Vegas,Loma 's,none
Real Garcilaso,Freddy García,Diego Carranza,Marathon,I-RUN
Sport Huancayo,Moisés Barack,Sergio Ibarra,Manchete,Caja Municipal de Huancayo
Sporting Cristal,Roberto Mosquera,Carlos Lobaton,Umbro,Cerveza Cristal / Volkswagen
Unión Comercio,Fernando Nogara,Juan Flores,Triathlon,New Holland /Olva Courier
Universidad César Vallejo,Víctor Rivera,Carlos Galván,Walon,Universidad César Vallejo
Universidad San Martín,Aníbal Ruiz,Leao Butrón,Umbro,Herbalife
UTC,Rafael Castillo,Ricardo Ronceros,Umbro,Universidad Alas Peruanas
Universitario,Ángel Comizzo,John Galliquio,Umbro,Hyundai
