Team,Manager,Captain,Kit manufacturer,Shirt sponsor,Average Squad Age
FK Andijan,Amet Memet,Abdumajid Toirov,Puma,UzDaewoo,27.21
Bunyodkor,Mirjalol Qosimov,Viktor Karpenko,Nike,UzGazOil,24.92
Lokomotiv Tashkent,Tachmurad Agamuradov,Aleksandr Filimonov,Puma,O'zbekiston Temir Yollari,25.46
Mash'al Mubarek,Vladimir Fomichev,Fozil Musaev,Adidas,Uzbekneftegaz,24.60
Metallurg Bekabad,Rustam Mirsodiqov,Odil Isaboyev,Adidas,Uzmetkombinat,28.24
Nasaf Qarshi,Anatoliy Demyanenko,Hayrulla Karimov,Puma,Sho'rtan Gaz Mahsulot,27.09
Navbahor Namangan,Sergey Kovshov,Rakhmatulla Berdimurodov,Adidas,Unsponsored,24.53
Neftchi Farg'ona,Yuriy Sarkisyan,Aziz Alijonov,Adidas,Uzbekneftegaz,26.17
Olmaliq FK,Igor Shkvyrin,Abdukakhkhor Khojiakbarov,Umbro,Almalyk MMC,25.48
Pakhtakor,Ravshan Khaydarov,Odil Ahmedov,Adidas,Kapital Bank,23.56
FK Samarqand-Dinamo,Viktor Djalilov,Denis Romanenco,Adidas,Unsponsored,26.94
Shurtan Guzar,Edgar Gess,Asror Aliqulov,Adidas,Sho'rtan Gaz Mahsulot,26.61
Qizilqum Zarafshon,Sergei Arslanov,Shavkat Nasibullaev,Adidas,Navoi MMC,27.19
Xorazm FK Urganch,Vali Sultonov,Bakhtiyor Ashurmatov,Puma,Unsponsored,27.43
