Name,Suburb/Town,LGA,Opened,Website
Alawa Primary School,Alawa,Darwin,1970,Website
Alyangula Area School,Alyangula,East Arnhem,1968,
Anula Primary School,Anula,Darwin,1978,Website
Bakewell Primary School,Bakewell,Palmerston,1999,Website
Batchelor Area School,Batchelor,Coomalie,1953,
Bees Creek Primary School,Freds Pass,Litchfield,1997,Website
Berry Springs Primary School,Berry Springs,Litchfield,1977,Website
Bradshaw Primary School,Gillen,Alice Springs,1974,Website
Braitling Primary School,Braitling,Alice Springs,1977,Website
Casuarina Street Primary School,Katherine East,Katherine,1998,Website
Clyde Fenton Primary School,Katherine,Katherine,1977,Website
Driver Primary School,Driver,Palmerston,1986,Website
Durack Primary School,Durack,Palmerston,1998,Website
Gillen Primary School,Gillen,Alice Springs,1970,Website
Girraween Primary School,Girraween,Litchfield,2002,
Gray Primary School,Gray,Palmerston,1983,Website
Howard Springs Primary School,Howard Springs,Litchfield,1977,
Humpty Doo Primary School,Humpty Doo,Litchfield,1980,Website
Jabiru Area School,Jabiru,West Arnhem,1978,Website
Jingili Primary School,Jingili,Darwin,1971,Website
