Name,Age,Residence,Occupation,Place Finished
Stacey Estrella,40,"San Francisco , CA",Fashion Designer,15th
Malan Breton,32,"Long Island City , NY",Fashion Designer,14th
Katherine Gerdes,23,"Minneapolis , MN","Textiles Designer , Target",13th
Keith Michael,34,"New York , NY",Menswear Designer,12th ( Disqualified )
Bonnie Dominguez,31,"San Diego , CA",Activewear Designer,11th
Bradley Baumkirchner,32,Los Angeles,Fashion Designer,10th
Alison Kelly,25,"Brooklyn , NY",Fashion Designer,9th
Robert Best,36,"West Hollywood , CA","Fashion Designer , Mattel",8th
Angela Keslar,33,"Amesville , OH",Freelance Fashion Designer,7th
Vincent Libretti,49,"Santa Monica , CA",Fashion Designer,6th
Kayne Gillaspie,27,"Norman , OK",Boutique Owner,5th
Mychael Knight †,28,"Atlanta , GA",Fashion Designer,4th
Laura Bennett,42,"New York , NY",Architect,3rd
Uli Herzner,35,"Miami Beach , FL",Fashion Designer,Runner-up
Jeffrey Sebelia,36,Los Angeles,"Design Director , Cosa Nostra , former guitarist of the band Lifter",Winner
