Season,Player,School,Position,Class
1985-86,Fred McKinnon,Winthrop,F,Senior
1986-87,Clarence Grier,Campbell,F,Senior
1987-88,Derek Wilson,Coastal Carolina,PF / C,Junior
1988-89,Henry Wilson,Campbell,C,Senior
1989-90,Tony Dunkin,Coastal Carolina,SF,Freshman
1990-91,Tony Dunkin ( 2 ),Coastal Carolina,SF,Sophomore
1991-92,Tony Dunkin ( 3 ),Coastal Carolina,SF,Junior
1992-93,Tony Dunkin ( 4 ),Coastal Carolina,SF,Senior
1993-94,Joe Spinks,Campbell,SF,Senior
1994-95,Eric Burks,Charleston Southern,PG,Senior
1995-96,T. L. Latson,Charleston Southern,SF,Senior
1996-97,Josh Pittman,UNC Asheville,SG,Junior
1997-98,Josh Pittman ( 2 ),UNC Asheville,SG,Senior
1998-99,Kevin Martin,UNC Asheville,SF,Senior
1999-00,Jason Williams,Radford,F,Junior
2000-01,Torrey Butler,Coastal Carolina,SF,Junior
2001-02,Greg Lewis,Winthrop,PF,Senior
2002-03,Torrey Butler ( 2 ),Coastal Carolina,SF,Senior
2003-04,Danny Gathings,High Point,PF,Junior
2004-05,Pele Paelay,Coastal Carolina,SG,Junior
