Club,Winners,Runners-up,Years won,Years runners-up
Spartak Kiev,13,2,"1970 , 1971 , 1972 , 1973 , 1975 , 1977 , 1979 , 1981 , 1983 , 1985 , 1986 , 1987 , 1988","1974 , 1989"
Hypo Niederösterreich,8,5,"1989 , 1990 , 1992 , 1993 , 1994 , 1995 , 1998 , 2000","1987 , 1988 , 1991 , 1996 , 2008"
Győri Audi ETO KC,5,3,"2013 , 2014 , 2017 , 2018 , 2019","2009 , 2012 , 2016"
Radnički Belgrade,3,4,"1976 , 1980 , 1984","1981 , 1982 , 1983 , 1985"
Viborg HK,3,2,"2006 , 2009 , 2010","1997 , 2001"
Slagelse DT,3,0,"2004 , 2005 , 2007",
SC Leipzig,2,4,"1966 , 1974","1967 , 1970 , 1972 , 1977"
Krim Ljubljana,2,3,"2001 , 2003","1999 , 2004 , 2006"
ŽRK Budućnost,2,1,"2012 , 2015",2014
Žalgiris Kaunas,2,0,"1967 , 1968",
Vasas Budapest,1,4,1982,"1978 , 1979 , 1993 , 1994"
Sagunto,1,2,1997,"1998 , 2003"
Kometal Skopje,1,2,2002,"2000 , 2005"
Larvik HK,1,2,2011,"2013 , 2015"
HG København,1,1,1965,1966
TV Giessen-Lützellinden,1,1,1991,1992
Podravka Koprivnica,1,1,1996,1995
Știința București,1,0,1961,
Sparta Prague,1,0,1962,
Trud Moscow,1,0,1963,
