Club,City / Town,Stadium,Head coach,1990-91 result
Cibalia,Vinkovci,Mladost,Mile Petković,208 8th in Yugoslav Div 2
Dubrovnik,Dubrovnik,Lapad,Mario Bonić,216 16th in Yugoslav Div 2
Hajduk Split,Split,Poljud,Stanko Poklepović,106 6th in Yugoslav Div 1
HAŠK Građanski,Zagreb,Maksimir,Zdenko Kobeščak,102 2nd in Yugoslav Div 1
Inker Zaprešić,Zaprešić,Stadion Inkera,Ilija Lončarević,302 2nd in Yugoslav Div 3 West
Istra Pula,Pula,Aldo Drosina,Sergio Scoria,404 4th in Yugoslav Div 4 West
Osijek,Osijek,Gradski vrt,Stjepan Čordaš,109 9th in Yugoslav Div 1
Rijeka,Rijeka,Kantrida,Marijan Jantoljak,115 15th in Yugoslav Div 1
Šibenik,Šibenik,Šubićevac,Nikica Cukrov,212 12th in Yugoslav Div 2
Varteks,Varaždin,Stadion Varteksa,Branko Ivanković,306 6th in Yugoslav Div 3 West
Zadar,Zadar,Stanovi,Goran Krešimir Vidov,301 1st in Yugoslav Div 3 West
NK Zagreb,Zagreb,Kranjčevićeva,Ivo Šušak,202 2nd in Yugoslav Div 2
