Date,Tournament,Prize fund ( ¥ ),Winner,OWGR pts
15 Apr,Token Homemate Cup,"110,000,000",Yui Ueda ( 1 ),16
22 Apr,Tsuruya Open,"100,000,000",Brendan Jones ( 6 ),16
29 Apr,The Crowns,"120,000,000",Hirofumi Miyase ( 7 ),18
13 May,Japan PGA Championship,"130,000,000",Toshimitsu Izawa ( 16 ),16
20 May,Munsingwear Open KSB Cup,"100,000,000",Ryo Ishikawa ( amateur ),16
27 May,Mitsubishi Diamond Cup Golf,"110,000,000",Tetsuji Hiratsuka ( 4 ),16
3 Jun,JCB Classic,"100,000,000",Tomohiro Kondo ( 3 ),16
24 Jun,Gateway to the Open Mizuno Open Yomiuri Classic,"130,000,000",Lee Dong-hwan ( 1 ),16
1 Jul,Japan Golf Tour Championship,"150,000,000",Shingo Katayama ( 22 ),16
8 Jul,Woodone Open Hiroshima,"100,000,000",Toru Taniguchi ( 12 ),16
15 Jul,Nagashima Shigeo Invitational Sega Sammy Cup,"150,000,000",Toru Taniguchi ( 13 ),16
5 Aug,Sun Chlorella Classic,"150,000,000",Jun Kikuchi ( 1 ),16
26 Aug,KBC Augusta,"100,000,000",Katsumasa Miyamoto ( 6 ),16
2 Sep,Fujisankei Classic,"150,000,000",Hideto Tanihara ( 5 ),16
9 Sep 6,Suntory Open,"100,000,000",Hideto Tanihara ( 6 ),16
16 Sep,ANA Open,"100,000,000",Norio Shinozaki ( 1 ),16
30 Sep,Coca-Cola Tokai Classic,"120,000,000",Camilo Villegas ( n/a ),16
14 Oct,Japan Open Golf Championship,"200,000,000",Toru Taniguchi ( 14 ),32
21 Oct,Bridgestone Open,"110,000,000",Shingo Katayama ( 23 ),16
28 Oct,ABC Championship,"120,000,000",Frankie Miñoza ( 7 ),18
