Product Name,Publisher,Read support,Write support
Capture One 7 or later,Phase One,Yes,Yes
Corel Paint Shop Pro X2 or later,Corel,Yes,Yes
Fast Picture Viewer,Axel Rietschin Software Developments,Yes,N/A
ImageMagick,ImageMagick Studio LLC,Yes,Yes
Internet Explorer 9,Microsoft,Yes,N/A
Microsoft Expression Design,Microsoft,Yes,Yes
Microsoft Expression Media,Microsoft,Yes,No
Microsoft Image Composite Editor,Microsoft,Yes,Yes
Paint.NET,Rick Brewster,Yes,Yes
Pale Moon ( web browser ),Moonchild productions,Yes,N/A
PhotoLine,Computerinsel,Yes,Yes
Serif PhotoPlus X7,Serif Europe,Yes,Yes
Windows Live Photo Gallery,Microsoft,Yes,Yes
Windows Photo Gallery,Microsoft,Yes,Yes
Windows Photo Viewer,Microsoft,Yes,N/A
Xara Designer Pro,Xara Group Limited,Yes,No
XnView,Pierre-Emmanuel Gougelet,Yes,Yes
Zoner Photo Studio 13 or later,Zoner Software,Yes,Yes
