,Dir,Name,Emplacement
1,N,Fort de Cormeilles-en-Parisis,Cormeilles-en-Parisis
2,N,Fort de Montlignon,Montlignon
3,N,Fort de Domont,Domont
4,N,Fort de Montmorency,Montmorency
5,N,Fort d'Écouen,Écouen
6,N,Redoute de la Butte-Pinson,Montmagny
7,N,Fort de Stains,Garges-les-Gonesse
8,E,Fort de Vaujours,Courtry
9,E,Fort de Chelles,Chelles
10,E,Fort de Villiers,Noisy-le-Grand
11,E,Fort de Champigny,Champigny-sur-Marne
12,E,Fort de Sucy,Sucy-en-Brie
13,E,Fort de Villeneuve,Villeneuve-Saint-Georges
14,S/W,Fort de Palaiseau,Palaiseau
15,S/W,Fort de Châtillon,Châtillon-sous-Bagneux Fontenay-aux-Roses
16,S/W,Fort de Villeras,Saclay
17,S/W,Batterie de Bouviers,Guyancourt
18,S/W,Batterie du Ravin de Bouviers,Versailles
19,S/W,Fort du Haut-Buc,Buc ( Yvelines )
20,S/W,Fort de Saint-Cyr,Montigny-le-Bretonneux
