Team,Province,Debut Season,Last Season,Captain,Coach
Abbottabad Falcons,KP,2005-06,2013-14,Younus Khan,Sajjad Akbar
AJK Jaguars,Azad Kashmir,2014-15,2015-16,Raheel Majeed,Javed Hayat
Bahawalpur Stags,Punjab,2012-13,2013-14,Imranullah Aslam,Shahid Anwar
Dera Murad Jamali Ibexes,Balochistan,2013-14,2013-14,Faizullah,Zahoor Elahi
Faisalabad Wolves,Punjab,2004-05,2013-14,Misbah-ul-Haq,Naveed Anjum
FATA Cheetahs,FATA,2013-14,2013-14,Riaz Afridi,Ayaz Akbar
Hyderabad Hawks,Sindh,2004-05,2013-14,Sharjeel Khan,Shaukat Mirza
Islamabad Leopards,Islamabad,2005-06,2013-14,Zohaib Ahmed,Taimoor Azam
Karachi Dolphins,Sindh,2004-05,2013-14,Shahid Afridi,Azam Khan
Karachi Zebras,Sindh,2004-05,2013-14,Faisal Iqbal,Tauseef Ahmed
Lahore Eagles,Punjab,2004-05,2013-14,Adnan Akmal,Manzoor Elahi
Lahore Lions,Punjab,2004-05,2013-14,Kamran Akmal,Mohsin Kamal
Larkana Bulls,Sindh,2013-14,2013-14,Zahid Mahmood,Iqbal Imam
Multan Tigers,Punjab,2004-05,2013-14,Saeed Anwar Jr,Manzoor Elahi
Peshawar Panthers,KP,2004-05,2013-14,Akbar Badshah,Abdur Rehman
Quetta Bears,Balochistan,2004-05,2013-14,Bismillah Khan,Arshad Khan
Rawalpindi Rams,Punjab,2004-05,2013-14,Sohail Tanvir,Sabih Azhar
Sialkot Stallions,Punjab,2004-05,2013-14,Shoaib Malik,Ijaz Ahmed jnr
Afghan Cheetahs,Afghanistan,2011-12,2011-12,Mohammad Nabi,R.Ahmadzai
