Rank,Athlete,Nationality,Time
1,Moses Tanui,Kenya,1:01:45
2,Paul Yego,Kenya,1:01:46
3,Charles Tangus,Kenya,1:01:50
4,Antonio Serrano,Spain,1:01:56
5,Josiah Thugwane,South Africa,1:02:28
6,Delmir dos Santos,Brazil,1:02:32
7,Herder Vázquez,Colombia,1:02:32
8,Nobuyuki Sato,Japan,1:02:36
9,Yoshifumi Miyamoto,Japan,1:02:38
10,Joaquim Pinheiro,Portugal,1:02:40
11,Bartolomé Serrano,Spain,1:02:41
12,Vincenzo Modica,Italy,1:02:48
13,Danilo Goffi,Italy,1:02:49
14,Oleg Strizhakov,Russia,1:02:54
15,Giacomo Leone,Italy,1:02:54
16,Godfrey Muriuki,Kenya,1:02:59
17,Pasi Mattila,Finland,1:03:01
18,Muhammed Nazipov,Russia,1:03:02
19,Pablo Sierra Hermoso,Spain,1:03:14
20,Philippe Rémond,France,1:03:16
