Position,Player,Transferred From,Fee,Date
MF,Diego Souza,Al Attihad,Free transfer,23 November 2012
DF,Egídio,Flamengo,Free transfer,3 December 2012
MF,Uelliton,Vitória,Undisclosed fee,3 December 2012
DF,Wallace,Youth product,Youth product,6 December 2012
MF,Alisson,Youth product,Youth product,6 December 2012
FW,Vinícius Araújo,Youth product,Youth product,6 December 2012
MF,Henrique,Santos,Swap ( Included in Montillo transfer ),3 January 2013
MF,Ricardo Goulart,Goiás,Undisclosed,5 January 2013
FW,Lucca,Criciúma,On loan,5 January 2013
DF,Nirley,Criciúma,On loan,5 January 2013
DF,Paulão,Guangzhou Evergrande,On loan,7 January 2013
DF,Bruno Rodrigo,Santos,Free transfer,8 January 2013
FW,Dagoberto,Internacional,€3M,8 January 2013
MF,Nílton,Vasco da Gama,Free transfer,9 January 2013
MF,Everton Ribeiro,Coritiba,"€1,5M",11 January 2013
FW,Ananias,Portuguesa,Undisclosed,24 January 2013
FW,Luan,Palmeiras,On loan,6 February 2013
DF,Dedé,Vasco da Gama,€5M,17 April 2013
DF,Leandrinho,CSA,Undisclosed,24 April 2013
MF,Souza,Palmeiras,Swap ( Included in Ananias loan ),29 May 2013
