Team,City,Stadium,Capacity,Field
Alianza Atlético,Sullana,Campeones del 36,"8,000",Grass
Alianza Lima,Lima,Alejandro Villanueva,"35,000",Grass
Atlético Universidad,Arequipa,Virgen de Chapi,"45,000",Grass
Cienciano,Cusco,Garcilaso,"42,056",Grass
Coronel Bolognesi,Tacna,Jorge Basadre,"19,850",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
Sport Áncash,Huaraz,Rosas Pampa,"8,000",Grass
Sport Boys,Callao,Miguel Grau,"15,000",Grass
Sporting Cristal,Lima,San Martín de Porres,"18,000",Grass
Unión Huaral,Huaral,Julio Lores Colan,"10,000",Grass
Universidad César Vallejo,Trujillo,Mansiche,"24,000",Artificial
Universidad San Martín,Lima,Nacional,"18,000",Grass
Universitario,Lima,Monumental,"80,093",Grass
