Rank,Stadium,Tennis event capacity,City,Country,Tournament hosted
1,Stade Pierre-Mauroy,"27,448",Villeneuve-d'Ascq,France,"2014 Davis Cup final , 2017 Davis Cup final"
2,Estadio de La Cartuja,"27,200",Seville,Spain,2004 Davis Cup final
3,White City Stadium,"25,578",Sydney,Australia,1954 Davis Cup final
4,Las Ventas,"23,798",Madrid,Spain,2008 Davis Cup semifinal
5,Belgrade Arena,"23,000",Belgrade,Serbia,2007 Davis Cup World Group Play-offs ; 2010 Davis Cup final
6,Palexpo,"18,400",Geneva,Switzerland,"2013 Davis Cup , 2014 Davis Cup"
7,O2 Arena ( Prague ),"17,000",Prague,Czech Republic,2007 Davis Cup World Group Play-offs
8,Palau Sant Jordi,"16,500",Barcelona,Spain,2000 Davis Cup final ; 2009 Davis Cup final
9,Barclaycard Arena,"15,800",Birmingham,United Kingdom,2016 Davis Cup
10,Estadio Mary Terán de Weiss,"15,500",Buenos Aires,Argentina,2006 Davis Cup semifinal
11,Tauron Arena Kraków,"15,328",Kraków,Poland,2015 Fed Cup
12,Palacio de Deportes de Santander,"14,000",Santander,Spain,2000 Davis Cup semifinal
13,Flanders Expo,"13,000",Ghent,Belgium,2015 Davis Cup final
14,Palais des Sports,"12,000",Grenoble,France,1982 Davis Cup final
15,Memorial Coliseum,"12,000","Portland , Oregon",United States,2007 Davis Cup final
16,Menora Mivtachim Arena,"10,383",Tel Aviv,Israel,Davis Cup ties
17,Public Auditorium,"11,500",Cleveland,United States,1973 Davis Cup final
18,Mediolanum Forum,"11,200",Milan,Italy,1998 Davis Cup final
19,Sears Centre,"11,000","Hoffman Estates , Illinois",United States,2014 Davis Cup
20,Queensland Sport and Athletics Centre,"10,000",Brisbane,Australia,1999 Davis Cup semifinal
