Medal,Name,Sport,Event
Gold,Lavy Pinto,Athletics,Men 's 100 m
Gold,Lavy Pinto,Athletics,Men 's 200 m
Gold,Ranjit Singh,Athletics,Men 's 800 m
Gold,Nikka Singh,Athletics,Men 's 1500 m
Gold,A. S. Bakshi Govind Singh Balwant Singh,Athletics,Men 's 4 × 400 m relay
Gold,Chota Singh,Athletics,Men 's Marathon
Gold,Mahabir Prasad,Athletics,Men 's 10000 m walk
Gold,Bakhtawar Singh,Athletics,Men 's 50 km walk
Gold,Madan Lal,Athletics,Men 's Shot put
Gold,Makhan Singh,Athletics,Men 's Discus throw
Gold,K. P. Thakkar,Diving,Men 's 3 m springboard
Gold,K. P. Thakkar,Diving,Men 's 10 m platform
Gold,India,Football,Men 's Team
Gold,Sachin Nag,Swimming,Men 's 100 m freestyle
Gold,India,Water Polo,Men 's Team
Silver,M. Gabriel,Athletics,Men 's 200 m
Silver,A.S.Bakshi,Athletics,Men 's 400 m
Silver,Kulwant Singh,Athletics,Men 's 800 m
Silver,Pritam Singh,Athletics,Men 's 5000 m
Silver,Teja Singh,Athletics,400 m Hurdles
