Club,Home city,2012 result
Atlético Sorocaba,Sorocaba,3rd ( Série A2 )
Botafogo ( SP ),Ribeirão Preto,15th
Bragantino,Bragança Paulista,8th
Corinthians,São Paulo,5th
Guarani,Campinas,2nd
Ituano,Itu,14th
Linense,Lins,11th
Mirassol,Mirassol,9th
Mogi Mirim,Mogi Mirim,7th
Oeste,Itápolis,10th
Palmeiras,São Paulo,6th
Paulista,Jundiaí,13th
Penapolense,Penápolis,4th ( Série A2 )
Ponte Preta,Campinas,4th
Santos,Santos,1st
São Bernardo,São Bernardo do Campo,1st ( Série A2 )
São Caetano,São Caetano do Sul,12th
São Paulo,São Paulo,3rd
União Barbarense,Santa Bárbara d'Oeste,2nd ( Série A2 )
XV de Piracicaba,Piracicaba,16th
