Raceqta,Years held,No . of races
Grand Prix of the Americas,2013-2019,7
Aragon Grand Prix,2010-2019,10
Argentine Grand Prix,"1960-1963 , 1981-1982 , 1987 , 1994-1995 , 1998-1999 , 2014-2019",17
Australian Grand Prix,1989-2019,31
Austrian Grand Prix,"1971-1979 , 1981-1991 , 1993-1994 , 1996-1997 , 2016-2019",28
Baden-Württemberg Grand Prix,1986,1
Belgian Grand Prix,"1949-1986 , 1988-1990",41
Brazilian Grand Prix,"1987-1989 , 1992",4
British Grand Prix,"1977-2017 , 2019",42
Canadian Grand Prix,1967,1
Catalan Grand Prix,1996-2019,24
Chinese Grand Prix,2005-2008,4
Czech Republic Grand Prix,"1965-1982 , 1987-1991 , 1993-2019",50
Dutch TT,1949-2019,71
East German Grand Prix,1961-1972,12
European Grand Prix,1991-1995,5
Expo 92 Grand Prix,1988,1
FIM Grand Prix,1993,1
Finnish Grand Prix,1962-1982,21
French Grand Prix,"1951 , 1953-1955 , 1959-1967 , 1969-1970 , 1972-1992 , 1994-2019",62
