Name,Group Level,Improv Type,Location,Date Established
ACME Comedy Theatre,Professional,Theatresports,"Los Angeles , California",1989
The Annoyance Theatre,Professional,Improvisational,"Chicago , Illinois",1987
BATS Improv,Major Professional,"Theatresports , Long-form , Musicals","San Francisco , California",1986
The Bent Theatre,Professional,Multiple,"Charlottesville , Virginia",2004
Blackout Improv,Professional,-,"Minneapolis , Minnesota",2015
Bovine Metropolis Theater,Professional,Multiple,"Denver , Colorado",1998
The Brave New Workshop Comedy Theatre,Professional,Multiple,"Minneapolis , Minnesota",1958
Chicago City Limits,Major Professional,Shortform,"New York City , New York",1977
Commedus Interruptus,Collegiate,Multiple,"Los Angeles , California",1989
ComedySportz,Major Professional,Shortform,"Milwaukee , Wisconsin",1984
Compass Players,Professional,Cabaret,"Chicago , Illinois",1955*
Dad 's Garage Theatre Company,Professional,Multiple,"Atlanta , Georgia",1995
The Diggers,Professional,Guerrilla,"San Francisco , California",1966*
Erasable Inc,Collegiate,Improvisational,"College Park , Maryland",1986
Face Off Unlimited,Professional,Multiple,"New York City , New York",2003
The Focus Group,Professional,Long-form,"Bangor , Maine",2009
Friday Night Improvs,Collegiate,Improv Jam,"Pittsburgh , Pennsylvania",1989
The Groundlings,Major Professional,Semi-improvisational,"Los Angeles , California",1974
HUGE Theater,Professional,Long-form,"Minneapolis , Minnesota",2005
The Immediate Gratification Players,Collegiate,Long-form,"Cambridge , Massachusetts",1986
