Name,Position,Signed from,Date
Shaun Ainscough,Wing,Wigan Warriors,August 2010
Chev Walker,Centre,Hull Kingston Rovers,August 2010
Patrick Ah Van,Wing,New Zealand Warriors,September 2010
Bryn Hargreaves,Prop,St Helens R.F.C,September 2010
Olivier Elima,Second Row,Catalans Dragons,September 2010
Ian Sibbit,Second Row,Salford City Reds,September 2010
Gareth Raynor,Wing,Crusaders RL,September 2010
Shad Royston,Fullback,Halifax,September 2010
Matt Diskin,Hooker,Leeds Rhinos,October 2010
Marc Herbert,Scrum Half,Canberra Raiders,October 2010
Kyle Briggs,Stand Off,Featherstone Rovers,January 2011
Ben Jeffries,Stand Off,Wakefield Trinity Wildcats,May 2011
