Date,Placing,Event,Location,Country
1973,1,"Stage 8 , Tour de Pologne",Międzyrzecz,Poland
1973,,Polish National Road Race Championships,Żywiec,Poland
1974,,"Amateurs ' road race , UCI Road World Championships",Montreal,Canada
1974,,Polish National Hill Climb Championships,Karpacz,Poland
1974,,Polish National Road Race Championships,Zakopane,Poland
1975,1,"Stage 9a , Milk Race",Seacroft,United Kingdom
1975,1,"General Classification , Tour of Bulgaria",,Bulgaria
1975,1,"General Classification , Tour of Małopolska",,Poland
1976,1,"Stage 3 , Tour de Pologne ,",Gorzów Wielkopolski,Poland
1976,1,"General Classification , Tour de Pologne",,Poland
1979,1,Stage 6 Tour de Pologne,Polanica,Poland
