Chapter,Status,Founding institution,Location,Chaptered date
Alpha,Chapter,"California State Polytechnic University , Pomona","Pomona , California","February 1 , 1994"
Beta,Chapter,Northern Illinois University,"DeKalb , Illinois","June 14 , 1999"
Gamma,Chapter,San Diego State University,"San Diego , California","May 20 , 2000"
Delta,Chapter,University of Arizona,"Tucson , Arizona","May 26 , 2002"
Epsilon,Chapter,DePaul University,"Chicago , Illinois","May 28 , 2006"
Zeta,Chapter,Michigan State University,"East Lansing , Michigan","May 28 , 2006"
Eta,Chapter,University of Missouri,"Columbia , Missouri","July 18 , 2009"
Theta,Chapter,Colorado State University,"Fort Collins , Colorado","June 26 , 2010"
Iota,Chapter,"University of Nevada , Las Vegas","Paradise , Nevada","June 16 , 2012"
Kappa,Chapter,"University of Nevada , Reno","Reno , Nevada","May 21 , 2011"
Lambda,Chapter,University of Illinois at Chicago,"Chicago , Illinois","February 26 , 2012"
Mu,Chapter,University of Minnesota-Twin Cities,"Minneapolis , Minnesota","June 15 , 2014"
Nu,Chapter,North Carolina State University,"Raleigh , North Carolina","June 14 , 2015"
Xi,Chapter,Arizona State University,"Tempe , Arizona","May 21 , 2017"
,Charter,University of Illinois at Urbana-Champaign,"Urbana , Illinois","April 13 , 2019"
,Associate Charter,"State University of New York , Stony Brook","Stony Brook , New York","May 20 , 2000"
,Associate Charter,University of Kansas,"Lawrence , Kansas","June 20 , 2003"
