Rank,Player,Malaysia Super League Club ( s ),Goals
1,Indra Putra Mahayuddin,"Kelantan ( 41 ) , Pahang ( 29 ) , T-Team ( 11 ) , Kuala Lumpur ( 12 ) , FELDA United ( 6 ) , FA Selangor ( 3 )",102
2,Ashari Samsudin,"Terengganu ( 81 ) , Pahang ( 3 )",84
3,Norshahrul Idlan Talaha,"UPB-MyTeam ( 14 ) , Kelantan ( 36 ) , Johor Darul Ta'zim ( 8 ) , Armed Forces ( 1 ) , Terengganu ( 2 ) , FELDA United ( 4 ) , Pahang ( 5 )",70
3,Mohd Amri Yahyah,"Selangor ( 60 ) , Johor Darul Ta'zim ( 10 )",70
5,Marlon Alex James,"Kedah ( 43 ) , Armed Forces ( 17 )",60
6,Baddrol Bakhtiar,Kedah ( 60 ),60
7,Francis Forkey Doe,"Terengganu ( 15 ) , FA Selangor ( 18 ) , Kelantan ( 5 ) , FELDA United ( 15 ) , Pahang ( 5 )",58
8,Safee Sali,"FA Selangor ( 36 ) , Johor Darul Ta'zim ( 6 ) , PKNS ( 9 ) , Petaling Jaya ( 3 )",54
9,Mandjou Keita,"Perak ( 49 ) , Kelantan ( 4 )",53
9,Mohd Fadzli Saari,,53
11,Phillimon Chepita,Perlis ( 52 ),52
