Episode,Couple 1,Couple 2,Couple 3,Original air date
1,Nicky Byrne with wife Georgina,Patsy Palmer with husband Richard,John Prescott with wife Pauline,5 September 2012
2,Antony Cotton with partner Peter,Michael Owen with wife Louise,Rachel Stevens with husband Alex,12 September 2012
3,Warwick Davis with wife Sammy,Jane Seymour with husband James Keach,Brendan Cole with wife Zoe,19 September 2012
4,Jo Joyner with husband Neil,Shaun Ryder with wife Joanne,Janine Duvitski with husband Paul,26 September 2012
5,Claire Richards with husband Reece,Des O'Connor with wife Jodie,Rufus Hound with wife Beth,3 October 2012
6,Martin Kemp with wife Shirlie Holliman,Jennifer Ellison with husband Rob,Paul Daniels with wife Debbie McGee,10 October 2012
7,Paddy McGuinness with wife Christine,Nadia Sawalha with husband Mark,Neil Dudgeon with wife Mary,17 October 2012
8,Les Dennis with wife Claire,Paula Lane with fiancé Tom,John Barnes with wife Andrea,24 October 2012
9,Matthew Wolfenden with fiancée Charley Webb,Kate Silverton with husband Mike,Stacey Solomon with fiancé Aaron,31 October 2012
10,Lisa Maxwell with fiancé Paul,Harry Judd with fiancée Izzy,Sian Reeves with partner Jeremy,7 November 2012
