#,Song,Artist,Country of Origin
1,No One Knows,Queens of the Stone Age,United States
2,Chemical Heart,Grinspoon,Australia
3,London Still,The Waifs,Australia
4,Karma,1200 Techniques,Australia
5,Get Free,The Vines,Australia
6,Rollercoaster,Machine Gun Fellatio,Australia
7,Lose Yourself,Eminem,United States
8,Pussytown,Machine Gun Fellatio,Australia
9,By the Way,Red Hot Chili Peppers,United States
10,The Greatest View,Silverchair,Australia
11,The One,Foo Fighters,United States
12,You Know You 're Right,Nirvana,United States
13,All My Life,Foo Fighters,United States
14,Lost Control,Grinspoon,Australia
15,No Reason,Grinspoon,Australia
16,The Zephyr Song,Red Hot Chili Peppers,United States
17,Without Me,Eminem,United States
18,Toxicity,System of a Down,United States
19,Highly Evolved,The Vines,Australia
20,Cochise,Audioslave,United States
