Software Name,E-mail client,HTML editor,Collaborative software,Online editing
Ability Office,No,No,No,No
Apache OpenOffice,No,OpenOffice Writer,No,With free plugins
Breadbox Office,Yes,Yes,No,No
Calligra Suite,Kontact,"Kate , Quanta+",No,No
Feng Office Community Edition,beta,No,Yes,Yes
GobeProductive,No,Yes,No,No
Google Apps for Work,Gmail,Google Sites,Yes,Fully online
iWork,Mail,No,Yes,iCloud
LibreOffice,Can interface with email clients and Mail Merge Wizard can send email directly from LibreOffice,LibreOffice Writer,LibreOffice Calc,Currently via free plugins ; LibreOffice Online under development
Lotus SmartSuite,No,Lotus FastSite,Yes,No
MarinerPak,No,No,No,No
Microsoft Office,Microsoft Outlook ( Not included in Microsoft Office 2013 or 2016 Home & Student ),"Microsoft SharePoint Designer . Versions after Office 2000 Premium and Developer contain Microsoft FrontPage , the full-blown web page editor . Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0",Microsoft SharePoint ( Available for separate subscription ),Office Online
Microsoft Works,No,No,No,Microsoft Office Live
MobiSystems OfficeSuite,"OfficeSuite Mail for Windows , AquaMail for Android",No,No,No
NeoOffice,No,NeoOffice Writer,No,No
ONLYOFFICE,Yes,No,Yes,Fully online
SoftMaker Office,a bundled Mozilla Thunderbird,No,No,No
StarOffice,No,StarWriter,No,With free plugins
TeXmacs,allows to read emails,Yes,under development,No
[ ./ Https : //www.onlyoffice.com OnlyOffice ],No,Yes,Yes,Yes
