Original NFL team,Player,Pos,College,Conf
Arizona Cardinals,John Bronson,TE,Penn State,Big Ten
Arizona Cardinals,Adam Bergen,TE,Lehigh,Patriot
Arizona Cardinals,Carlyle Holiday,WR,Notre Dame,Ind . ( I-A )
Arizona Cardinals,Aaron Francisco,S,BYU,MWC
Atlanta Falcons,Michael Koenen,P,Western Washington,GNAC
Buffalo Bills,Jim Leonhard,S,Wisconsin,Big Ten
Carolina Panthers,Lorenzo Alexander,LB,California,Pac-10
Chicago Bears,Rashied Davis,WR,San Jose State,WAC
Cleveland Browns,Josh Cribbs,KR,Kent State,MAC
Cleveland Browns,Lance Moore,WR,Toledo,MAC
Dallas Cowboys,Jon Condo,LS,Maryland,ACC
Dallas Cowboys,Harvey Dahl,G,Nevada,WAC
Denver Broncos,Brandon Browner,CB,Oregon State,Pac-10
Denver Broncos,Erik Pears,OT,Colorado State,MWC
Green Bay Packers,Roy Manning,LB,Michigan,Big Ten
Jacksonville Jaguars,Dan Connolly,G,Southeast Missouri State,OVC
Miami Dolphins,Brock Berlin,QB,Miami,ACC
Miami Dolphins,John Denney,LS,BYU,MWC
Miami Dolphins,Abram Elam,S,Kent State,MAC
Miami Dolphins,Atari Bigby,S,UCF,MAC
