Country,Winners,Runners-up,Winning clubs,Runners-up
South Korea,5,3,"Jeonbuk Hyundai Motors ( 2 ) , Pohang Steelers ( 1 ) , Seongnam FC ( 1 ) , Ulsan Hyundai ( 1 )","Seongnam FC ( 1 ) , FC Seoul ( 1 ) , Jeonbuk Hyundai Motors ( 1 )"
Japan,4,1,"Urawa Red Diamonds ( 2 ) , Gamba Osaka ( 1 ) , Kashima Antlers ( 1 )",Urawa Red Diamonds ( 1 )
Saudi Arabia,3,4,"Al-Ittihad ( 2 ) , Al-Hilal ( 1 )","Al-Hilal ( 2 ) , Al-Ittihad ( 1 ) , Al-Ahli ( 1 )"
China,2,0,Guangzhou Evergrande ( 2 ),-
United Arab Emirates,1,3,Al-Ain ( 1 ),"Al-Ain ( 2 ) , Shabab Al-Ahli ( 1 )"
Australia,1,1,Western Sydney Wanderers ( 1 ),Adelaide United ( 1 )
Qatar,1,0,Al-Sadd ( 1 ),-
Iran,0,3,-,"Sepahan ( 1 ) , Zob Ahan ( 1 ) , Persepolis ( 1 )"
Thailand,0,1,-,Police Tero ( 1 )
Syria,0,1,-,Al-Karamah ( 1 )
