Satellite,Operator,Detail,Failure Date
Echostar 5,Echostar,Dual momentum wheel failures,2001-07 and 2003-12
Echostar 6,Echostar,Partial thruster failure,2001
Telstar 14 / Estrela do Sul 1,Telesat,Solar panel deployment failure,2004-01-11
Telstar 14R / Estrela do Sul 2,Telesat,Solar panel deployment failure,2011-05-20
GOES 9,NOAA,Momentum wheel problems,1998-06-01
PAS 6,PanAmSat,Total power loss,2004-03-17 and 2004-04-01
Intelsat 7,Intelsat,Partial power loss,2001-09-06
Galaxy 26,Intelsat,Multiple system failures . Control processor failure,2001 and 2008-06-28
Galaxy 27,Intelsat,Electrical failure,2004-11-28
DirecTV 6,DirecTV,Solar flare damage,1997-04
Intelsat 19,Intelsat,Solar panel deployment failure,2012-06-01
