No,Name,Position,via
4,Alan Didak,Forward / Midfielder,delisted
18,Darren Jolly,Ruckman,delisted
2,Jordan Russell,Defender,delisted
7,Andrew Krakouer,Forward,delisted
30,Ben Richmond,Forward / Defender,delisted
47,Michael Hartley,Defender,delisted
13,Dale Thomas,Midfielder / Forward,restricted free agent
39,Heath Shaw,Defender,trade
33,Jackson Paine,Forward,trade
44,Corey Gault,Defender,delisted
5,Nick Maxwell,Defender,retired
25,Ben Hudson,Ruckman,retired
21,Quinten Lynch,Utility,retired
12,Luke Ball,Midfielder,retired
