P,Name,Age,Moving to,Type
MF,Bida,24,Vitória,Loan expiration
FW,Vitor Júnior,22,Kawasaki Frontale,End of contract
FW,Lima,25,Avaí,Loan expiration
FW,Reginaldo,27,Free Agent,End of contract
DF,Fabiano,26,Confiança,End of contract
MF,Michael,26,Dynamo Kyiv,Loan expiration
DF,Fábio Santos,23,Grêmio,Loan expiration
DF,Wendel,27,Palmeiras,Loan expiration
MF,Adoniran,23,Free Agent,Contract terminated
DF,Anderson Salles,22,Bragantino,End of contract
FW,Nelson Cuevas,29,Free Agent,Contract terminated
DF,Kléber,29,Inter,Transferred
MF,Quiñónez,24,El Nacional,Contract terminated
MF,Bolaños,24,Internacional,Contract terminated
FW,Trípodi,21,Free Agent,Contract terminated
MF,Lúcio Flávio,30,Botafogo,Contract terminated
MF,Molina,29,Seongnam Ilhwa Chunma,Transferred
FW,Roni,32,Fluminense,Contract terminated
DF,Fabiano Eller,31,Free Agent,Contract terminated
MF,Emerson,30,Free Agent,Contract terminated
