Constituency,Winning Candidate,Winning Party,Winning Alliance
1 . Chikkodi,Ramesh Chandappa Jigajinagi,Bharatiya Janata Party,National Democratic Alliance
2 . Belgaum,Suresh Angadi,Bharatiya Janata Party,National Democratic Alliance
3 . Bagalkot,P. C. Gaddigoudar,Bharatiya Janata Party,National Democratic Alliance
4 . Bijapur,Basangouda Patil ( Yatnal ),Bharatiya Janata Party,National Democratic Alliance
5 . Gulbarga,Iqbal Ahmed Saradgi,Indian National Congress,United Progressive Alliance
6 . Raichur,A. Venkatesh Naik,Indian National Congress,United Progressive Alliance
7 . Bidar,Ramchandra Veerappa,Bharatiya Janata Party,National Democratic Alliance
8 . Koppal,K. Virupaxappa,Indian National Congress,United Progressive Alliance
9 . Bellary,G. Karunakara Reddy,Bharatiya Janata Party,National Democratic Alliance
10 . Dharwad North,Pralhad Joshi,Bharatiya Janata Party,National Democratic Alliance
11 . Dharwad South,Kunnur Manjunath Channappa,Bharatiya Janata Party,National Democratic Alliance
12 . Kanara,Ananthkumar Hegde,Bharatiya Janata Party,National Democratic Alliance
13 . Davanagere,G.M . Siddeswara,Bharatiya Janata Party,National Democratic Alliance
14 . Shimoga,S. Bangarappa,Bharatiya Janata Party,National Democratic Alliance
15 . Udupi,Manorama Madhwaraj,Bharatiya Janata Party,National Democratic Alliance
16 . Hassan,H. D. Deve Gowda,Janata Dal ( Secular ),Janata Dal ( Secular )
17 . Mangalore,D. V. Sadananda Gowda,Bharatiya Janata Party,National Democratic Alliance
18 . Chitradurga,N. Y. Hanumanthappa,Indian National Congress,United Progressive Alliance
19 . Tumkur,S. Mallikarjunaiah,Bharatiya Janata Party,National Democratic Alliance
19 . Mandya,Ambareesh,Indian National Congress,United Progressive Alliance
