Medal,Name,Sport,Event,Date
Gold,Pia Hansen,Shooting,Women 's double trap,19 September
Gold,Jonas Edman,Shooting,Men 's 50 m rifle prone,21 September
Gold,Lars Frölander,Swimming,Men 's 100 m butterfly,21 September
Gold,Mikael Ljungberg,Wrestling,Men 's Greco-Roman 97 kg,26 September
Silver,Therese Alshammar,Swimming,Women 's 100 m freestyle,20 September
Silver,Therese Alshammar,Swimming,Women 's 50 m freestyle,23 September
Silver,Jan-Ove Waldner,Table tennis,Men 's singles,25 September
Silver,Henrik Nilsson Markus Oscarsson,Canoeing,Men 's K-2 1000 m,30 September
Silver,Sweden men 's national handball team Magnus Andersson Mattias Andersson Martin Boquist Mathias Franzén Martin Frändesjö Peter Gentzel Andreas Larsson Ola Lindgren Stefan Lövgren Staffan Olsson Johan Petersson Tomas Sivertsson Tomas Svensson Pierre Thorsson Ljubomir Vranjes Magnus Wislander,Handball,Men 's competition,30 September
Bronze,Therese Alshammar Louise Jöhncke Anna-Karin Kammerling Josefin Lillhage Johanna Sjöberg Malin Svahnström,Swimming,Women 's 4 × 100 m freestyle relay,16 September
Bronze,Kajsa Bergqvist,Athletics,Women 's high jump,30 September
Bronze,Fredrik Lööf,Sailing,Men 's Finn class,
