Conference,Total,Schools
ACC,7,"Clemson , Florida State , Georgia Tech , Miami ( FL ) , North Carolina , NC State , Virginia"
SEC,7,"Alabama , Arkansas , Florida , Georgia , Mississippi State , South Carolina , Vanderbilt"
Big 12,6,"Baylor , Kansas State , Oklahoma , Oklahoma State , Texas , Texas A & M"
Pac-10,6,"Arizona , Arizona State , California , Oregon State , Stanford , UCLA"
C-USA,4,"UCF , East Carolina , Rice , Southern Miss"
A-Sun,3,"Belmont , Jacksonville , Stetson"
Big East,3,"Connecticut , Seton Hall , St. John 's"
Sun Belt,3,"Arkansas-Little Rock , FIU , Troy"
Big West,2,"Cal State Fullerton , UC Irvine"
Mountain West,2,"New Mexico , TCU"
A-10,1,Charlotte
America East,1,Maine
Big South,1,Coastal Carolina
Big Ten,1,Illinois
CAA,1,James Madison
Horizon,1,Wright State
Independent,1,Dallas Baptist
Ivy,1,Princeton
MAAC,1,Manhattan
MAC,1,Kent State
