Club,City,Stadium,Capacity,2015-16 season
Agropoli,Agropoli,Raffaele Guariglia,"2,000",13th in Serie D Girone I
Anziolavinio,Anzio,Massimo Burschini,"3,000",2nd in Eccellenza Lazio Girone B
AZ Picerno,Picerno,Donato Curcio,,16th in Serie D Girone H
Bisceglie,Bisceglie,Gustavo Ventura,"5,000",8th in Serie D Girone H
Cynthia,Genzano di Roma,Comunale,"4,500",15th in Serie D Girone G
Francavilla,Francavilla in Sinni,Nunzio Fittipaldi,"1,200",3rd in Serie D Girone H
Gelbison,Vallo della Lucania,Giovanni Morra,"4,000",17th in Serie D Girone I
Gravina,Gravina in Puglia,Stefano Vicino,,1st in Eccellenza Apulia
Herculaneum,Ercolano,Raffaele Solaro,"1,300",1st in Eccellenza Campania Girone A
Madre Pietra Daunia,Castelnuovo della Daunia,Madre Pietra ( Apricena ),,1st in Eccellenza Molise
Manfredonia,Manfredonia,Miramare,"4,076",6th in Serie D Girone H
Nardò,Nardò,Giovanni Paolo II,"5,000",4th in Serie D Girone H
Nocerina,Nocera Inferiore,San Francesco,"9,068",1st in Eccellenza Campania Girone B
Potenza,Potenza,Alfredo Viviani,"5,500",12th in Serie D Girone H
San Severo,San Severo,Ricciardelli,300,14th in Serie D Girone H
Trastevere,Rome,Trastevere,,11th in Serie D Girone G
Vultur Rionero,Rionero in Vulture,Pasquale Corona,,1st in Eccellenza Basilicata
