Player,Games,Major teams
Ryan Howard,27,Philadelphia Phillies
Reggie Jackson,23,"Oakland Athletics , New York Yankees , California Angels"
Chris Davis,22,"Texas Rangers , Baltimore Orioles"
Jim Thome,20,"Cleveland Indians , Philadelphia Phillies , Chicago White Sox"
Adam Dunn,19,"Chicago White Sox , Cincinnati Reds"
Bo Jackson,19,"Kansas City Royals , Chicago White Sox"
Rob Deer,17,"Milwaukee Brewers , Detroit Tigers"
Sammy Sosa,17,"Chicago Cubs , Texas Rangers"
Jose Canseco,16,"Texas Rangers , Oakland Athletics"
Mark Reynolds,16,"Arizona Diamondbacks , St. Louis Cardinals"
Dick Allen,15,"Philadelphia Phillies , Chicago White Sox"
Andrés Galarraga,15,"Montreal Expos , Colorado Rockies"
Dave Kingman,15,"New York Mets , San Francisco Giants"
