Year,Country,Title,Directors,Notes
2000,Czech Republic,Musíme si pomáhat,Jan Hřebejk,English title : Divided We Fall
2000,Canada,Nuremberg,Yves Simoneau,TV movie ; based on the book by Joseph E. Persico
2000,Czech Republic,Pramen života,Milan Cieslar,English title : The Spring Of Life ; based on the book by Vladimír Körner
2000,United States Poland,Edges of the Lord,Yurek Bogayevicz,
2001,United States,Anne Frank : The Whole Story,Robert Dornhelm,TV movie ; based on the book by Melissa Müller
2001,United States United Kingdom,Conspiracy,Frank Pierson,TV movie
2001,United States,The Grey Zone,Tim Blake Nelson,Based on the book
2001,Germany,Nirgendwo in Afrika,Caroline Link,English title : Nowhere in Africa ; adaptation of Stefanie Zweig 's autobiographical novel
2001,United States,Uprising,Jon Avnet,TV movie
2002,France Germany,Amen,Costa-Gavras,Based on the play The Deputy by Rolf Hochhuth
2002,France Germany United Kingdom Poland,The Pianist,Roman Polanski,Based on the autobiography by Wladyslaw Szpilman ; Won 3 Academy Awards
2002,Czech Republic,The Power of Good,Matej Mináč,Documentary
2003,Hungary,A Rózsa énekei,Andor Szilágyi,
2003,Italy,Facing Windows,Ferzan Özpetek,English title : Facing Windows
2003,United States,The Singing Forest,Jorge Ameer,
2003,United States,Out of the Ashes,Joseph Sargent,Based on the book I Was a Doctor in Auschwitz by Gisella Perl
2003,United States,Hitler : The Rise of Evil,Christian Duguay,TV movie
2003,Germany,Babiy Yar,Jeff Kanew,
2004,Brazil,Olga,Jayme Monjardim,
2005,Poland Sweden,Ninas resa,Lena Einhorn,
