Princess,Work,Notes,Author
al-Nadirah,Hatra legend,Recorded in early Islamic literature,
The Princess,"The Bold Knight , the Apples of Youth , and the Water of Life",Russian fairy tale collected by Alexander Afanasyev in Narodnye russkie skazki,Alexander Afanasyev
"Marya , Olga , and Anna",The Death of Koschei the Deathless,"Three sisters of Prince Ivan from the Russian fairy tale , collected by Alexander Afanasyev in Narodnye russkie skazki and included by Andrew Lang in The Red Fairy Book",Alexander Afanasyev
Marya Morevna,The Death of Koschei the Deathless,The warrior princess,Alexander Afanasyev
Vasilisa the Wise,The Frog Princess,"Also called The Tsarevna Frog , collected by Alexander Afanasyev in Narodnye russkie skazki",Alexander Afanasyev
Euna,The Princess Who Never Smiled,"Also called The Unsmiling Tsarevna , collected by Alexander Afanasyev in Narodnye russkie skazki",Alexander Afanasyev
Helen the Beautiful,"Tsarevitch Ivan , the Firebird and the Gray Wolf",Russian fairy tale collected by Alexander Afanasyev in Narodnye russkie skazki,Alexander Afanasyev
Princess Eilonwy,The Chronicles of Prydain,,Lloyd Alexander
Mickle/Princess Augusta,Westmark trilogy,Long-lost daughter of King Augustine IV and Queen Caroline of Westmark,Lloyd Alexander
Princess,The Flying Trunk,The Sultan 's daughter,Hans Christian Andersen
The Little Mermaid,The Little Mermaid,The youngest daughter of the Sea King,Hans Christian Andersen
The Princess,The Little Mermaid,"She happens to appear on the scene when the prince begins to wake , and thus receives the credit for saving him",Hans Christian Andersen
The Princess,The Most Incredible Thing,,Hans Christian Andersen
The Princess,The Princess and the Pea,,Hans Christian Andersen
The Princess,The Shadow,,Hans Christian Andersen
The Princess,The Snow Queen,,Hans Christian Andersen
The Princess,The Swineherd,,Hans Christian Andersen
Princess Elisa,The Wild Swans,Danish fairy tale about a princess who saves her eleven brothers from a curse cast by an evil queen,Hans Christian Andersen
Thumbelina,Thumbelina,,Hans Christian Andersen
Queen Irene,Xanth,"Formerly Princess Irene . Sorceress of Plants ; daughter of King Trent and Queen Iris . She is the wife of Dor and the mother of Ivy , Ida , and Dolph . She appears in Centaur Aisle",Piers Anthony
