Year,French title,English title,Directed by
1980,Mon oncle d'Amérique,My American Uncle,Alain Resnais
1980,La Boum,,Claude Pinoteau
1980,Le Dernier métro,The Last Metro,François Truffaut
1980,Trois hommes à abattre,Three Men to Kill,Jacques Deray
1981,Diva,Diva,Jean-Jacques Beinex
1981,Le Pont du Nord,,Jacques Rivette
1981,La Femme d ' à côté,The Woman Next Door,François Truffaut
1981,Les Uns et les Autres,,Claude Lelouch
1982,Le Beau Mariage,A Good Marriage,Eric Rohmer
1983,L'été meurtrier,One Deadly Summer,Jean Becker
1983,Vivement dimanche !,Confidentially Yours,François Truffaut
1984,Viva la vie !,,Claude Lelouch
1984,Péril en la demeure,Death in a French Garden,Michel Deville
1985,Trois hommes et un couffin,Three Men and a Cradle,Coline Serreau
1985,Subway,Subway,Luc Besson
1986,Tenue de soirée,Ménage,Bertrand Blier
1986,Jean de Florette,Jean de Florette,Claude Berri
1986,Manon des Sources,Manon of the Spring,Claude Berri
1986,Le Rayon vert,The Green Ray,Éric Rohmer
1986,Sarraounia,Sarraounia,Med Hondo
