Rank,Country,Team,Time
1,Kenya,Tegla Loroupe Catherine Ndereba Joyce Chepchumba,3:27:40
2,Japan,Mizuki Noguchi Reiko Tosa Hiromi Katayama,3:30:06
3,Russia,Valentina Yegorova Lyudmila Biktasheva Alina Ivanova,3:31:49
4,Romania,Luminița Talpoș Constantina Diţă Cristina Pomacu,3:33:40
5,Italy,Agata Balsamo Rosaria Console Florinda Andreucci,3:38:17
6,Spain,Ana Isabel Alonso María Abel Mónica Pont,3:39:58
7,Ethiopia,Derartu Tulu Tereza Yohanes Alemitu Bekele Aga,3:40:38
8,Great Britain,Marian Sutton Birhan Dagne Jo Lodge,3:43:53
9,South Africa,Elana Meyer Theresa du Toit Azwindini Lukhwareni,3:46:21
10,United States,Michelle Byrne Lynn Fitzsimmons Christine McNamara,3:48:27
11,Croatia,Tijana Pavičić Slavica Brčić Kristinka Marković,4:22:21
12,Uzbekistan,Irina Matrosova Yuliya Arfipova Aleksandra Rodigina,4:39:55
-,Australia,Susan Michelsson Silvana Trampuz Carolyn Schuwalov,DNF
