Pick,Player,Recruited from,Recruited to
1,James Condos,Werribee,Western Bulldogs
2,Andrew Carrazzo,Geelong,Carlton
3,Aaron Davey,Port Melbourne,Melbourne
4,Nathan Foley,Geelong Falcons,Richmond
5,Luke Buckland,Geelong Falcons,Geelong
6,Dylan Pfitzner,Central District,St Kilda
7,Pass,,North Melbourne
8,Ben Clifton,Calder Cannons,Hawthorn
9,Brett Jones,Claremont,West Coast
10,Paul Duffield,South Fremantle,Fremantle
11,Ben Cosgriff,Murray Bushrangers,Essendon
12,Tim Hazell,Hawthorn,Adelaide
13,Adam Grocke,North Adelaide,Port Adelaide
14,Aaron Rogers,Melbourne,Sydney
15,Zane Leonard,Dandenong Stingrays,Collingwood
16,Daniel Pratt,North Melbourne,Brisbane
17,Pass,,Western Bulldogs
18,Murray Boyd,Western Jets,Carlton
19,Paul Newman,Kyabram,Melbourne
20,Marc Dragicevic,Richmond,Richmond
