Destination,Airport,Notes
Kathmandu,Tribhuvan International Airport,Hub
Bajhang,Bajhang Airport,Terminated
Bajura,Bajura Airport,Terminated
Bhadrapur,Bhadrapur Airport,
Bhairahawa,Gautam Buddha Airport,
Bharatpur,Bharatpur Airport,
Biratnagar,Biratnagar Airport,
Birendranagar,Surkhet Airport,Terminated
Dang,Dang Airport,Terminated
Dhangadhi,Dhangadhi Airport,Terminated
Janakpur,Janakpur Airport,
Jomsom,Jomsom Airport,Terminated
Jumla,Jumla Airport,Terminated
Lamidanda,Lamidanda Airport,Terminated
Lukla,Lukla Airport,Terminated
Manang,Manang Airport,Terminated
Meghauli,Meghauli Airport,Terminated
Nepalgunj,Nepalgunj Airport,
Phaplu,Phaplu Airport,Terminated
Pokhara,Pokhara Airport,
